Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Insomnia Cookies,,1420,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1420 Carpenter Street,19146,philadelphia,39.938955,-75.166843,1,range_interpolation,1420,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Nam Son Bakery,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,39.939012,-75.170351,1,rooftop,1600,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
HAI TIEN RESTAURANT INC,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,39.939012,-75.170351,1,rooftop,1600,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Ultimo Coffee,,2149,Catharine Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2149 Catharine Street,19146,philadelphia,39.942569,-75.17902,1,rooftop,2149,Catharine St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Xing Wang Restaurant,,1844,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1844 Christian Street,19146,philadelphia,39.940839,-75.174192,1,rooftop,1844,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
19 Degrees Café,,1847,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1847 Christian Street,19146,philadelphia,39.941194,-75.174108,1,rooftop,1847,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Sidecar Bar & Grille,,2201,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2201 Christian Street,19146,philadelphia,39.941827,-75.17948,1,rooftop,2201,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Thai Square Restaurant,,2521,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2521 Christian Street,19146,philadelphia,39.942588,-75.185312,1,rooftop,2521,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
The Igloo,,2223,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2223 Grays Ferry Avenue,19146,philadelphia,39.945136,-75.179483,1,rooftop,2223,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Grace Tavern,,2229,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2229 Grays Ferry Avenue,19146,philadelphia,39.945052,-75.179601,1,rooftop,2229,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Balkan Express Restaurant,,2237,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2237 Grays Ferry Avenue,19146,philadelphia,39.944841,-75.17994,1,rooftop,2237,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Old Towne Pizza & Sanna's,,2301,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2301 Grays Ferry Avenue,19146,philadelphia,39.94447,-75.180582,1,rooftop,2301,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Devil's Pocket food & Spirits,,2425,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2425 Grays Ferry Avenue,19146,philadelphia,39.942814,-75.183309,1,rooftop,2425,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
L'anima,,1001,S 17th Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,1001 S 17th Street,19146,philadelphia,39.939471,-75.171204,1,rooftop,1001,S 17th St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
South Side Pizza,,917,S 20th Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,917 S 20th Street,19146,philadelphia,39.940657,-75.175806,1,range_interpolation,917,S 20th St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Los Camaradas,,918,S 22nd Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,918 S 22nd Street,19146,philadelphia,39.940805,-75.179773,1,rooftop,918,S 22nd St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Govinda's,,1408,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1408 South Street,19146,philadelphia,39.943556,-75.165997,1,rooftop,1408,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Pat's Pizza and Pasta,,1410,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1410 South Street,19146,philadelphia,39.943514,-75.16607,1,rooftop,1410,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Yeeroh,,1412,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1412 South Street,19146,philadelphia,39.94349,-75.166134,1,rooftop,1412,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Sweet Freedom Bakery,,1424,South Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,1424 South Street,19146,philadelphia,39.94362,-75.166452,1,rooftop,1424,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Jamaican Jerk Hut,,1436,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1436 South Street,19146,philadelphia,39.943577,-75.166817,1,rooftop,1436,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Coco's Chicken and Waffles,,1437,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1437 South Street,19146,philadelphia,39.944019,-75.16661,1,rooftop,1437,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
PHS - Pop Up Garden,,1438,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1438 South Street,19146,philadelphia,39.943587,-75.166074,1,range_interpolation,1438,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
LoftBar,,1439,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1439 South Street,19146,philadelphia,39.944027,-75.166675,1,rooftop,1439,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
LITTLE SPOON LLC,,1500,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1500 South Street,19146,philadelphia,39.943723,-75.16738,1,rooftop,1500,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Wine Dive,,1506,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1506 South Street,19146,philadelphia,39.943712,-75.167548,1,rooftop,1506,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Cambridge House,,1508,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1508 South Street,19146,philadelphia,39.943716,-75.167305,1,range_interpolation,1508,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
BOB & BARBARA'S LOUNGE,,1509,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1509 South Street,19146,philadelphia,39.944012,-75.167255,1,range_interpolation,1509,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
The Quick Fixx,,1511,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1511 South Street,19146,philadelphia,39.944057,-75.167591,1,rooftop,1511,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Rex 1516,,1516,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1516 South Street,19146,philadelphia,39.943732,-75.167404,1,range_interpolation,1516,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
JET WINE BAR LLC,,1525,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1525 South Street,19146,philadelphia,39.944099,-75.167983,1,rooftop,1525,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Tio Flores,,1600,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 South Street,19146,philadelphia,39.9442,-75.168762,1,range_interpolation,1600,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Entre',,1608,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1608 South Street,19146,philadelphia,39.943952,-75.169152,1,rooftop,1608,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Founding Fathers Sports Bar & Grill,,1612,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1612 South Street,19146,philadelphia,39.943926,-75.168933,1,range_interpolation,1612,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Miles Table,,1620,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1620 South Street,19146,philadelphia,39.943964,-75.169523,1,rooftop,1620,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Tico's Tacos Tex Mex,,1627,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1627 South Street,19146,philadelphia,39.94432,-75.169731,1,rooftop,1627,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Indian Restaurant,,1634,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1634 South Street,19146,philadelphia,39.943969,-75.169203,1,range_interpolation,1634,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Nori Sushi,,1636,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1636 South Street,19146,philadelphia,39.943973,-75.169228,1,range_interpolation,1636,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
New South China Restaurant,,1640,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1640 South Street,19146,philadelphia,39.944049,-75.170112,1,rooftop,1640,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Kei Sushi Restaurant,,1711,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1711 South Street,19146,philadelphia,39.944447,-75.170734,1,rooftop,1711,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Pumpkin,,1713,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1713 South Street,19146,philadelphia,39.944453,-75.170794,1,rooftop,1713,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Lazaro's Pizza,,1743,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1743 South Street,19146,philadelphia,39.944548,-75.171706,1,rooftop,1743,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
OCF Coffee House,,1745,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,1745 South Street,19146,philadelphia,39.944565,-75.171766,1,rooftop,1745,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Bistro Southeast,,1824,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1824 South Street,19146,philadelphia,39.944307,-75.172762,1,rooftop,1824,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Randazzo's Pizzeria,,1826,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1826 South Street,19146,philadelphia,39.944315,-75.172822,1,rooftop,1826,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Fortune Chinese Restaurant,,1828,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1828 South Street,19146,philadelphia,39.944322,-75.172884,1,rooftop,1828,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
TEN STONE,,2059,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2059 South Street,19146,philadelphia,39.94521,-75.176714,1,rooftop,2059,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
La Va Café,,2100,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2100 South Street,19146,philadelphia,39.944908,-75.177139,1,rooftop,2100,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Honey's Sit 'N Eat,,2101,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2101 South Street,19146,philadelphia,39.94493,-75.176985,1,range_interpolation,2101,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Andy's Chicken,,2108,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2108 South Street,19146,philadelphia,39.94494,-75.177378,1,rooftop,2108,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Rita's Italian Ice & Frozen Custard,,2124,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2124 South Street,19146,philadelphia,39.944996,-75.177834,1,rooftop,2124,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
My Thai,,2200,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2200 South Street,19146,philadelphia,39.945112,-75.178759,1,rooftop,2200,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
STARBUCKS CORPORATION,,2201,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2201 South Street,19146,philadelphia,39.945475,-75.178674,1,rooftop,2201,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Fuzhou House,,2202,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2202 South Street,19146,philadelphia,39.945119,-75.178817,1,rooftop,2202,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Ants Pants Café,,2212,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2212 South Street,19146,philadelphia,39.945153,-75.179094,1,rooftop,2212,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Falafel Time,,2214,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2214 South Street,19146,philadelphia,39.945161,-75.179148,1,rooftop,2214,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Callahan's Grille,,2615,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2615 South Street,19146,philadelphia,39.946098,-75.183782,1,rooftop,2615,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
WATERFRONT GOURMET,,2716,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2716 South Street,19146,philadelphia,39.945301,-75.186889,1,rooftop,2716,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Huong Tram Restaurant,,1601,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1601 Washington Avenue,19146,philadelphia,39.938558,-75.170241,1,rooftop,1601,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Martabak OK,,1801,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1801 Washington Avenue,19146,philadelphia,39.938914,-75.173337,1,rooftop,1801,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Chick's (Bar & Grill),,1807,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1807 Washington Avenue,19146,philadelphia,39.938936,-75.174014,1,rooftop,1807,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Café Ynez,,2025,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2025 Washington Avenue,19146,philadelphia,39.939229,-75.17665,1,range_interpolation,2025,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Dock Street's Brewery,,2118,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2118 Washington Avenue,19146,philadelphia,39.939115,-75.179506,1,rooftop,2118,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
South Square Market,,2221,South Street,"Philadelphia, PA 19146",,,,,Food Store,,,,,,,,2221 South Street,19146,philadelphia,39.945494,-75.179008,1,range_interpolation,2221,South St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Dunkin',,1551,Washington Avenue,"Philadelphia, PA 19146",,,,,Food (Coffee),,,,,,,,1551 Washington Avenue,19146,philadelphia,39.938584,-75.169481,1,rooftop,1551,Washington Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Popeyes Louisiana Kitchen,,800,S Broad Street,"Philadelphia, PA 19146",,,,,Food,,,,,,,,800 S Broad Street,19146,philadelphia,39.940662,-75.166203,1,range_interpolation,800,S Broad St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
McDonald's,,914,S Broad Street,"Philadelphia, PA 19146",,,,,food,,,,,,,,914 S Broad Street,19146,philadelphia,39.939911,-75.166531,1,range_interpolation,914,S Broad St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Chipotle,,1000,S Broad Street,"Philadelphia, PA 19146",,,,,Food,,,,,,,,1000 S Broad Street,19146,philadelphia,39.938608,-75.167519,1,rooftop,1000,S Broad St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Starbucks,,1002,S Broad Street,"Philadelphia, PA 19146",,,,,Food (Coffee),,,,,,,,1002 S Broad Street,19146,philadelphia,39.939061,-75.166721,1,range_interpolation,1002,S Broad St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau