"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Houdini Lock & Safe",,616,"S Broad Street","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"616 S Broad Street",19146,philadelphia,PA,39.943172,-75.165978,1,rooftop,616,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Via Bicycle",,622,"S Broad Street","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"622 S Broad Street",19146,philadelphia,PA,39.943217,-75.165821,1,range_interpolation,622,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"RITE AID OF PENNSYLVANIA INC",,810,"S Broad Street","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"810 S Broad Street",19146,philadelphia,PA,39.940358,-75.166711,1,rooftop,810,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Sprint,,1000,"S Broad Street","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"1000 S Broad Street",19146,philadelphia,PA,39.938608,-75.167519,1,rooftop,1000,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Target,,1020,"S Broad Street","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"1020 S Broad Street",19146,philadelphia,PA,39.938842,-75.166756,1,range_interpolation,1020,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"CVS Pharmacy",,1020,"S Broad Street","Philadelphia, PA 19146",,,,,"Retail / Medical / Pharmacy",,,,,,,,"1020 S Broad Street",19146,philadelphia,PA,39.938842,-75.166756,1,range_interpolation,1020,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Hearth & Stove",,1719,"South Street","Philadelphia, PA 19146",,,,,"Retail (Stoves, Fireplaces Chimney)",,,,,,,,"1719 South Street",19146,philadelphia,PA,39.944465,-75.170978,1,rooftop,1719,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bicycle Therapy",,2211,"South Street","Philadelphia, PA 19146",,,,,"Retail (Bicycles)",,,,,,,,"2211 South Street",19146,philadelphia,PA,39.945486,-75.178984,1,rooftop,2211,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"C R Ettinger Studio",,2215,"South Street","Philadelphia, PA 19146",,,,,"Retail (Art Gallery)",,,,,,,,"2215 South Street",19146,philadelphia,PA,39.945524,-75.179093,1,rooftop,2215,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Fine Wine & Good Spirits",,1403,"Washington Avenue","Philadelphia, PA 19146",,,,,"Retail (Alcohol)",,,,,,,,"1403 Washington Avenue",19146,philadelphia,PA,39.937728,-75.16688,0.9,range_interpolation,1403,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Metro by T-Mobile",,1901,"Washington Avenue","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"1901 Washington Avenue",19146,philadelphia,PA,39.939152,-75.174954,1,rooftop,1901,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Springfield Beer Distributor",,2206,"Washington Avenue","Philadelphia, PA 19146",,,,,"Retail (Alcohol)",,,,,,,,"2206 Washington Avenue",19146,philadelphia,PA,39.939343,-75.179941,1,range_interpolation,2206,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Habitat for Humanity Philadelphia ReStore",,2318,"Washington Avenue","Philadelphia, PA 19146",,,,,Retail,,,,,,,,"2318 Washington Avenue",19146,philadelphia,PA,39.939577,-75.18175,1,range_interpolation,2318,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Woven Treasures",,2221,"Grays Ferry Avenue","Philadelphia, PA 19146",,,,,"Retail (Wool Items)",,,,,,,,"2221 Grays Ferry Avenue",19146,philadelphia,PA,39.945207,-75.179399,1,rooftop,2221,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Giant Heirloom Market",,2303,"Bainbridge Street","Philadelphia, PA 19146",,,,,"Grocery Store / Convenience Store / Deli",,,,,,,,"2303 Bainbridge Street",19146,philadelphia,PA,39.94478,-75.180595,1,range_interpolation,2303,"Bainbridge St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Nunez Grocery",,1544,"Christian Street","Philadelphia, PA 19146",,,,,"Grocery Store / Convenience Store / Deli",,,,,,,,"1544 Christian Street",19146,philadelphia,PA,39.940235,-75.169483,1,rooftop,1544,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Green Aisle Grocery",,2241,"Grays Ferry Avenue","Philadelphia, PA 19146",,,,,"Grocery Store / Convenience Store / Deli",,,,,,,,"2241 Grays Ferry Avenue",19146,philadelphia,PA,39.944791,-75.180033,1,rooftop,2241,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Reyes Grocery",,924,"S 20th Street","Philadelphia, PA 19146",,,,,"Grocery Store",,,,,,,,"924 S 20th Street",19146,philadelphia,PA,39.940368,-75.176243,1,rooftop,924,"S 20th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Kennedy Grocery",,725,"S 22nd Street","Philadelphia, PA 19146",,,,,"Grocery Store",,,,,,,,"725 S 22nd Street",19146,philadelphia,PA,39.94365,-75.178716,1,rooftop,725,"S 22nd St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Sprouts,,1000,"S Broad Street","Philadelphia, PA 19146",,,,,"Grocery Store / Convenience Store / Deli",,,,,,,,"1000 S Broad Street",19146,philadelphia,PA,39.938608,-75.167519,1,rooftop,1000,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Tesoro Design",,1533,"South Street","Philadelphia, PA 19146",,,,,"Store (Leather)",,,,,,,,"1533 South Street",19146,philadelphia,PA,39.94412,-75.168216,1,rooftop,1533,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"M Concept Clothing Store",,1540,"South Street","Philadelphia, PA 19146",,,,,"Clothing Store",,,,,,,,"1540 South Street",19146,philadelphia,PA,39.94386,-75.168521,1,rooftop,1540,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Work Shop Underground",,1544,"South Street","Philadelphia, PA 19146",,,,,"Jewelry Store",,,,,,,,"1544 South Street",19146,philadelphia,PA,39.943891,-75.168631,1,rooftop,1544,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Senoj Clothing",,1609,"South Street","Philadelphia, PA 19146",,,,,"Shopping - Boutique Clothing Store",,,,,,,,"1609 South Street",19146,philadelphia,PA,39.94425,-75.16918,1,rooftop,1609,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Choice Deli",,1642,"South Street","Philadelphia, PA 19146",,,,,"Convenience Store / Deli",,,,,,,,"1642 South Street",19146,philadelphia,PA,39.944114,-75.17021,1,rooftop,1642,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"7-ELEVEN INC",,1701,"South Street","Philadelphia, PA 19146",,,,,"Convenience Store / Deli",,,,,,,,"1701 South Street",19146,philadelphia,PA,39.944094,-75.170332,1,range_interpolation,1701,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"SOUTH DELI AND GROCERY",,1739,"South Street","Philadelphia, PA 19146",,,,,"Grocery Store / Convenience Store / Deli",,,,,,,,"1739 South Street",19146,philadelphia,PA,39.944549,-75.171583,1,rooftop,1739,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Neighborhood Book Store",,1906,"South Street","Philadelphia, PA 19146",,,,,"Shopping - Book Store",,,,,,,,"1906 South Street",19146,philadelphia,PA,39.94451,-75.173819,1,rooftop,1906,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"WAWA INC",,2101,"South Street","Philadelphia, PA 19146",,,,,"Convenience Store / Deli",,,,,,,,"2101 South Street",19146,philadelphia,PA,39.94493,-75.176985,1,range_interpolation,2101,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Sophisticated Seconds",,2204,"South Street","Philadelphia, PA 19146",,,,,"Clothing Store",,,,,,,,"2204 South Street",19146,philadelphia,PA,39.945129,-75.178873,1,rooftop,2204,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Momo's Tree House",,2207,"South Street","Philadelphia, PA 19146",,,,,"Toy Store",,,,,,,,"2207 South Street",19146,philadelphia,PA,39.945498,-75.178863,1,rooftop,2207,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Square Market",,2221,"South Street","Philadelphia, PA 19146",,,,,"Food Store",,,,,,,,"2221 South Street",19146,philadelphia,PA,39.945494,-75.179008,1,range_interpolation,2221,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
