Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
As-Salaam Barber Shop,,1444,Christian Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1444 Christian Street,19146,philadelphia,PA
Modify: The Hair Art Studio,,1701,Christian Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1701 Christian Street,19146,philadelphia,PA
American Mortals 2101,,2101,Christian Street,"Philadelphia, PA 19146",,,,,Hair Salon / Barber,,,,,,,,2101 Christian Street,19146,philadelphia,PA
HK Hair Studio,,625,S 23rd Street,"Philadelphia, PA 19146",,,,,Hair Studio,,,,,,,,625 S 23rd Street,19146,philadelphia,PA
Heaven Sent Hair Designers,,1448,South Street,"Philadelphia, PA 19146",,,,,Hair Studio,,,,,,,,1448 South Street,19146,philadelphia,PA
Barbershop Denim,,1517,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1517 South Street,19146,philadelphia,PA
Cynergy Hair Studio,,1527,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1527 South Street,19146,philadelphia,PA
Hair 4 U,,1606,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1606 South Street,19146,philadelphia,PA
Indique Virgin Hair Extensions,,1607,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1607 South Street,19146,philadelphia,PA
Gods Kreative Hands,,1715,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1715 South Street,19146,philadelphia,PA
Kreationz by Hands Unisex Hair Studio,,1717,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1717 South Street,19146,philadelphia,PA
Polished By An Angel Nail Salon,,1731,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,1731 South Street,19146,philadelphia,PA
Admirations Hair It Iz,,1733,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,1733 South Street,19146,philadelphia,PA
Bobby Mack Hair,,1944,South Street,"Philadelphia, PA 19146",,,,,Hair Dresser,,,,,,,,1944 South Street,19146,philadelphia,PA
South Street Nails Salon,,2208,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,2208 South Street,19146,philadelphia,PA
Deluxe Hair Salon,,2209,South Street,"Philadelphia, PA 19146",,,,,Hair Salon,,,,,,,,2209 South Street,19146,philadelphia,PA
Christian Nails & Spa,,1537,Christian Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,1537 Christian Street,19146,philadelphia,PA
Nineteen Nails & Spa,,770,S 19th Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,770 S 19th Street,19146,philadelphia,PA
Queen Nails & Spa,,1515,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,1515 South Street,19146,philadelphia,PA
Polished By An Angel Nail Salon,,1731,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,1731 South Street,19146,philadelphia,PA
Heritage Nails,,1830,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,1830 South Street,19146,philadelphia,PA
Pink Nails & Spa,,2401,South Street,"Philadelphia, PA 19146",,,,,Nail Salon,,,,,,,,2401 South Street,19146,philadelphia,PA